"full_name","a","e","i","om","w","q","epoch","ma","t_jup"
"231400 (2006 SE32)",3.984,0.2568,2.56,189.64,158.50,2.961,2460000.5,35.42,3
"231745 (1999 RR214)",3.983,0.1741,8.95,154.89,264.88,3.290,2460000.5,308.20,3.01
"231749 (1999 TN152)",3.983,0.3166,6.67,48.55,331.08,2.722,2460000.5,345.69,2.96
"231872 (2000 TJ25)",3.955,0.2578,12.77,57.41,350.30,2.936,2460000.5,288.44,2.96
"231909 (2000 YY72)",3.991,0.2416,7.12,116.44,311.34,3.026,2460000.5,297.77,2.99
"231913 (2000 YH138)",3.96,0.3409,11.54,134.85,275.62,2.610,2460000.5,304.96,2.92
"232088 (2001 WA94)",3.942,0.2198,4.10,70.10,23.54,3.076,2460000.5,226.44,3.01
"232165 (2002 CC308)",3.992,0.2202,4.09,105.42,335.89,3.113,2460000.5,271.15,3.01
"232393 (2003 BB88)",3.97,0.2282,9.68,137.09,341.53,3.065,2460000.5,202.21,2.99
"232402 (2003 CG16)",3.967,0.2310,9.82,153.82,311.83,3.050,2460000.5,215.59,2.99
"233778 (2008 TK164)",3.939,0.2487,17.90,148.31,280.81,2.959,2460000.5,288.03,2.92
"233864 (2008 VO59)",3.952,0.2839,2.33,195.93,211.44,2.830,2460000.5,294.63,2.99
"233878 (2008 WQ81)",3.913,0.3172,4.00,174.05,230.60,2.672,2460000.5,316.85,2.97
"233893 Honthyhanna (2008 YW5)",3.945,0.2144,3.53,151.24,268.06,3.100,2460000.5,290.67,3.02
"233939 (2009 VR58)",3.953,0.1834,6.77,238.90,222.53,3.228,2460000.5,215.41,3.02
"233950 (2009 WO252)",3.974,0.1584,3.55,143.90,311.24,3.345,2460000.5,220.15,3.03
"233980 (1995 NF1)",3.974,0.2222,7.49,154.44,134.99,3.091,2460000.5,152.06,3
"234093 (1999 TL170)",3.975,0.2518,2.75,15.64,351.95,2.974,2460000.5,353.37,3
"234650 (2002 CH304)",3.981,0.1942,11.60,159.49,270.15,3.208,2460000.5,307.77,2.99
"234674 (2002 GP38)",3.971,0.1979,8.46,190.88,95.20,3.185,2460000.5,169.97,3
"235567 (2004 HK15)",3.957,0.1651,2.63,228.18,213.07,3.303,2460000.5,254.77,3.03
"235584 (2004 OY12)",3.951,0.1951,15.25,120.48,162.11,3.180,2460000.5,153.73,2.97
"236100 (2005 PY14)",3.998,0.1871,10.55,124.83,227.44,3.250,2460000.5,59.50,3
"236103 (2005 QQ53)",3.958,0.2026,3.61,145.03,164.27,3.156,2460000.5,98.53,3.02
"236114 (2005 SL61)",3.954,0.1882,3.13,28.27,276.09,3.210,2460000.5,132.81,3.03
"236118 (2005 SJ116)",3.934,0.1739,4.60,338.96,334.65,3.250,2460000.5,126.69,3.03
"236119 (2005 SE124)",3.945,0.2032,9.20,180.97,117.03,3.144,2460000.5,127.74,3
"236126 (2005 SB272)",3.983,0.2215,9.83,120.54,205.99,3.101,2460000.5,91.16,2.99
"236209 (2005 WT122)",3.931,0.1317,8.40,191.53,117.51,3.413,2460000.5,125.89,3.03
"236673 (2006 QC3)",3.989,0.2600,1.64,286.18,84.64,2.952,2460000.5,19.17,3
"236682 (2006 QU104)",3.961,0.3032,5.57,52.36,318.68,2.760,2460000.5,20.44,2.97
"236819 (2007 RC33)",3.955,0.2359,10.86,329.98,49.03,3.022,2460000.5,334.71,2.98
"236822 (2007 RW38)",3.931,0.2638,2.08,181.48,223.86,2.894,2460000.5,332.35,3
"236852 (2007 RV140)",3.987,0.2511,2.70,188.25,225.61,2.986,2460000.5,304.74,3
"236856 (2007 RB157)",3.972,0.2534,3.67,144.47,249.90,2.965,2460000.5,312.68,3
"236884 (2007 SD2)",3.974,0.1395,7.42,305.64,117.47,3.420,2460000.5,284.70,3.03
